vote_decision,year,ons_const_code,constituency_name,under_30,over_65,age,gender,left_right,weight
Conservatives,2017,E14000729,Harlow,37.8568405976368,15.55938934279483,63,Male,2,0.5090957398105701
Conservatives,2017,E14000729,Harlow,37.8568405976368,15.55938934279483,53,Male,8,1.1648750759453264
Labour,2017,E14000729,Harlow,37.8568405976368,15.55938934279483,87,Male,4,0.49914290217719665
Labour,2017,E14000734,Harwich an,32.71470878578479,21.07381814193266,29,Female,5,0.9151889710460192
Labour,2017,E14000734,Harwich an,32.71470878578479,21.07381814193266,73,Male,5,0.9115549574241539
Conservatives,2017,E14000734,Harwich an,32.71470878578479,21.07381814193266,64,Female,6,0.9303437048034474
Conservatives,2017,E14000734,Harwich an,32.71470878578479,21.07381814193266,31,Male,,0.9586712070921775
Labour,2017,E14000734,Harwich an,32.71470878578479,21.07381814193266,46,Male,3,1.228484761098649
Labour,2017,E14000744,Hertford a,35.64862104187947,14.83820786985409,50,Female,4,0.37416441694587194
Conservatives,2017,E14000744,Hertford a,35.64862104187947,14.83820786985409,29,Male,7,0.47933560354608873
Conservatives,2017,E14000744,Hertford a,35.64862104187947,14.83820786985409,42,Female,5,0.4007905673058766
Conservatives,2017,E14000744,Hertford a,35.64862104187947,14.83820786985409,18,Female,,1.7281918535906475
Labour,2017,E14000744,Hertford a,35.64862104187947,14.83820786985409,78,Male,4,0.9982858043543933
Conservatives,2017,E14000744,Hertford a,35.64862104187947,14.83820786985409,52,Male,7,0.4690369166415353
Labour,2017,E14000744,Hertford a,35.64862104187947,14.83820786985409,33,Female,2,0.38237997961104975
Conservatives,2017,E14000744,Hertford a,35.64862104187947,14.83820786985409,34,Male,5,
Conservatives,2017,E14000744,Hertford a,35.64862104187947,14.83820786985409,66,Male,6,0.7398560007784177
Conservatives,2017,E14000744,Hertford a,35.64862104187947,14.83820786985409,54,Male,2,0.9380738332830706
Conservatives,2017,E14000744,Hertford a,35.64862104187947,14.83820786985409,81,Male,8,0.9389859994780884
