"party","ame_diff"
"Conservative",-0.00484632315013604
"Labour",0.011432906193798
"Conservative",0.000113827859425313
"Labour",0.00824001405923948
"Conservative",0.000748095274329552
"Labour",0.00728113770500372
"Conservative",-0.00836232540047086
"Labour",0.00580379161561731
"Conservative",-0.00398334974724667
"Labour",0.00590350016381734
"Conservative",-0.0041792068038402
"Labour",0.00274539716156208
"Conservative",0.00188444498686715
"Labour",0.00428131795801778
"Conservative",-0.00507357375631843
"Labour",0.00486221807641437
"Conservative",-0.000414234063861149
"Labour",0.00469373326650805
"Conservative",-0.00268203340425495
"Labour",0.00368610376666834
"Conservative",-0.00543305871501886
"Labour",0.0109424759425735
"Conservative",0.000936061090539514
"Labour",-0.00747624270399955
"Conservative",-0.0049684993452304
"Labour",0.00979991906827685
"Conservative",-0.00442050607593229
"Labour",0.00263366640363728
"Conservative",0.00375495394898765
"Labour",0.00948666677607602
"Conservative",0.00282588915371098
"Labour",0.00845917277115707
"Conservative",-0.0035538471377829
"Labour",0.00493179723501369
"Conservative",-0.0011617549584955
"Labour",-0.00138305073909166
"Conservative",-0.00453078215947118
"Labour",0.000559217774224085
"Conservative",0.000814347847403915
"Labour",0.00158222971967418
"Conservative",0.00359877599278372
"Labour",0.0048650540305416
"Conservative",-0.0043695444104235
"Labour",0.0129065967638288
"Conservative",0.00109723178665406
"Labour",0.00543944785445164
"Conservative",-0.00137565568655416
"Labour",0.00243389646704117
"Conservative",-0.00414275543833066
"Labour",-0.0049161310090733
"Conservative",-6.96604331103725e-05
"Labour",0.00641748110902645
"Conservative",0.00598056246812638
"Labour",0.00026279728525658
"Conservative",-0.00622105677477049
"Labour",0.00195641399529014
"Conservative",-0.00419835025771939
"Labour",0.00476589086582888
"Conservative",0.00489435439453229
"Labour",-0.000883996890355439
"Conservative",-0.00619458744055152
"Labour",0.0154222959777684
"Conservative",-0.00530222004158829
"Labour",0.00258079570229321
"Conservative",0.000735970467077464
"Labour",0.00760712560812197
"Conservative",0.00410312212669055
"Labour",-0.00382312509270257
"Conservative",0.00450953369743683
"Labour",0.000674124585334783
"Conservative",-0.0001935990683885
"Labour",0.00852161653946999
"Conservative",0.00287717711730268
"Labour",0.0037693616325673
"Conservative",0.000466858726109424
"Labour",0.00720672306752033
"Conservative",0.00810717253896514
"Labour",0.00239391391658795
"Conservative",0.0015489706372098
"Labour",0.00810373069128521
"Conservative",-0.00390471059696847
"Labour",0.00517203753241985
"Conservative",0.00307990526842694
"Labour",0.0129087962701054
"Conservative",0.0021893330474512
"Labour",0.000744588627308312
"Conservative",0.00536585349165701
"Labour",-0.00141615908925757
"Conservative",-0.00328662238415606
"Labour",0.00318439675301347
"Conservative",-0.0083746854360549
"Labour",0.00259669056959605
"Conservative",-0.0027648182933085
"Labour",0.00382316043490096
"Conservative",-0.00454020117288291
"Labour",0.0082472795198229
"Conservative",0.00360762752686183
"Labour",0.00610688449826978
"Conservative",-0.00549826689731358
"Labour",0.000249540160649207
"Conservative",-0.00342680197871043
