"party","ame_diff"
"Conservative",-0.00176270210687566
"Labour",-0.0326298427365376
"Conservative",-0.0146364997943313
"Labour",-0.0224150951721495
"Conservative",-0.0130227702029387
"Labour",-0.0240933424367424
"Conservative",-0.023774938560831
"Labour",-0.0290482211745669
"Conservative",-0.0222841535141677
"Labour",-0.012844421601774
"Conservative",0.000954884465460356
"Labour",-0.0241115451620113
"Conservative",-0.00407249217260444
"Labour",-0.0171538744826375
"Conservative",-0.001247410057061
"Labour",-0.022274031321744
"Conservative",-0.00953267606948675
"Labour",-0.0386080587235395
"Conservative",-0.0220488621503932
"Labour",-0.0241116015222539
"Conservative",-0.0110030041428279
"Labour",-0.0196900811656007
"Conservative",0.00767138099189667
"Labour",-0.0376242388690149
"Conservative",-0.0240915848039591
"Labour",-0.0311188176599449
"Conservative",-0.015791234554012
"Labour",-0.0360957093806237
"Conservative",-0.00346084463906671
"Labour",-0.0323751456287114
"Conservative",-0.00177381445010898
"Labour",-0.0136635180588022
"Conservative",-0.0145059398155813
"Labour",-0.0201264748402828
"Conservative",-0.034745326989624
"Labour",-0.0104741012253917
"Conservative",-0.0293783973078555
"Labour",-0.0075487892069169
"Conservative",0.0171339296206793
"Labour",-0.036343926601656
"Conservative",-0.0141719796345746
"Labour",-0.0166233610680017
"Conservative",0.0168373312357484
"Labour",-0.0299767359461179
"Conservative",-0.00958284080976305
"Labour",-0.0120724073169894
"Conservative",0.0220497391460829
"Labour",-0.0414324830040328
"Conservative",-0.01703348288551
"Labour",-0.00729810703212927
"Conservative",-0.0280467023365592
"Labour",-0.0138105517829814
"Conservative",-0.00665586760606702
"Labour",-0.0131658219636125
"Conservative",-0.024879549355674
"Labour",-0.0174752109039919
"Conservative",-0.0258458019324065
"Labour",-0.00469971329331752
"Conservative",-0.0113036665198836
"Labour",-0.0226228801625621
"Conservative",0.021865105258042
"Labour",-0.0276083188073512
"Conservative",-0.027709588770866
"Labour",-0.0370857550378511
"Conservative",-0.0146255443017084
"Labour",-0.0210294352578228
"Conservative",0.0272915936625051
"Labour",-0.0341626381198015
"Conservative",-0.022414685470676
"Labour",-0.0218231678312146
"Conservative",-0.0151632919713349
"Labour",-0.00510713379035457
"Conservative",0.00394164764918237
"Labour",-0.0300857936885944
"Conservative",0.00766334903501707
"Labour",-0.00792029434569634
"Conservative",-0.00947383367167332
"Labour",-0.0227477931031429
"Conservative",-0.00155199356101009
"Labour",-0.0173153546298266
"Conservative",0.00705249588905952
"Labour",-0.0347645595606541
"Conservative",-0.0490737474971772
"Labour",-0.0348556551061987
"Conservative",-0.0141266563752507
"Labour",-0.00728664424101295
"Conservative",-0.0149512153353217
"Labour",-0.00978247984510753
"Conservative",-0.00545691341159156
"Labour",-0.012593023748261
"Conservative",-0.0224281569079718
"Labour",-0.0230944487158697
"Conservative",0.00605981409954114
"Labour",-0.0203808901343747
"Conservative",-0.026096974196664
"Labour",-0.0235268587619087
"Conservative",-0.0207290389889783
"Labour",-0.0281743936620949
"Conservative",0.00178979639719558
"Labour",-0.0179130357271808
"Conservative",-0.0146602944420287
"Labour",-0.0110195906566813
"Conservative",-0.022031318884651
"Labour",-0.0251529019583317
"Conservative",-0.00451423417921765
"Labour",-0.017465338544793
"Conservative",-0.00246740652656617
"Labour",-0.0235426899997778
"Conservative",-0.0169960410987705
"Labour",-0.0209542206377373
"Conservative",-0.0306473527494752
"Labour",-0.0171445251356739
"Conservative",-0.00965903292641737
"Labour",-0.0326466314229013
"Conservative",-0.0162353830714569
"Labour",0.00464287445142033
"Conservative",-0.010937364528944
"Labour",-0.00667634574774982
"Conservative",-0.00421762655083659
"Labour",-0.0280021171288315
"Conservative",-0.00828681869103397
"Labour",0.00366762866737808
"Conservative",-0.0114587970708631
"Labour",-0.038471506591384
"Conservative",0.0069115168616531
"Labour",-0.00735493707213202
"Conservative",-0.0155610142396529
"Labour",-0.0106063947041044
"Conservative",0.0159058779554114
"Labour",-0.0148099021783945
"Conservative",0.0100850739029257
"Labour",7.90038243240459e-05
"Conservative",0.0117466213344568
"Labour",-0.0272560563810483
"Conservative",-0.0186956696344434
"Labour",-0.0405516376372294
"Conservative",0.00789848077095618
"Labour",-0.0290974840807787
"Conservative",-0.0124833419486203
"Labour",-0.033642694222719
"Conservative",-0.0364131526600394
"Labour",-0.0253891670888957
"Conservative",-0.0182962936463435
"Labour",-0.0308918237283034
"Conservative",0.000114950596742085
"Labour",-0.0104746211269722
"Conservative",-0.0164058859907831
"Labour",-0.025447807757611
"Conservative",-0.0123953692763786
"Labour",-0.021913066569018
"Conservative",0.0172969478300359
"Labour",-0.00925892671587072
"Conservative",-0.00242609340434208
"Labour",-0.0181482740535766
"Conservative",-0.0041279391286306
"Labour",-0.0237147203351646
"Conservative",-0.0144260635517519
"Labour",-0.0206137331928657
"Conservative",-0.000554138800041003
"Labour",-0.0179351898399605
"Conservative",0.0209867011194431
"Labour",-0.035615645458539
"Conservative",-0.00659601116427238
"Labour",-0.0107072232475659
"Conservative",-0.0580950873530463
"Labour",-0.0146565822995182
"Conservative",0.00755705401185785
"Labour",-0.0161110052028342
"Conservative",-0.0083545853273703
"Labour",-0.0300279420249696
"Conservative",-0.011206384955924
"Labour",-0.0226496616108312
"Conservative",-0.00949702699256959
"Labour",-0.04137227658892
"Conservative",0.000156319276896552
"Labour",-0.0140763988069408
"Conservative",-0.00992038030487693
"Labour",-0.0247574087091336
"Conservative",0.00660983652676113
"Labour",-0.038372020023769
"Conservative",-0.00449423907120767
"Labour",-0.0278602043601361
"Conservative",-0.0206944494358171
